,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative
43,2010,3-Arlington,Female,African American,Six to Twelve Years Old,17.0,49.0,1.0,8.0,5.0,3.0,,1.0,60,84,2329,27.726190476190474,14.0,14.0,47.0,32.0,52.0,27.0
44,2010,3-Arlington,Female,Anglo,Birth to Five Years Old,18.0,72.0,31.0,,6.0,10.0,2.0,,91,60,288,4.8,10.0,10.0,75.0,62.0,82.0,55.0
45,2010,3-Arlington,Female,Anglo,Six to Twelve Years Old,8.0,51.0,1.0,15.0,12.0,2.0,,2.0,58,60,1302,21.7,14.0,14.0,84.0,59.0,95.0,48.0
46,2010,3-Arlington,Female,Asian,Birth to Five Years Old,1.0,,,1.0,,1.0,,,1,1,34,34.0,6.0,10.0,3.0,1.0,3.0,1.0
47,2010,3-Arlington,Female,Hispanic,Birth to Five Years Old,39.0,15.0,14.0,,1.0,4.0,,,48,41,383,9.341463414634147,10.0,10.0,46.0,33.0,50.0,29.0
48,2010,3-Arlington,Female,Hispanic,Six to Twelve Years Old,23.0,6.0,1.0,5.0,3.0,3.0,,2.0,33,50,938,18.76,14.0,14.0,51.0,34.0,59.0,26.0
49,2010,3-Arlington,Male,African American,Birth to Five Years Old,31.0,63.0,36.0,2.0,6.0,5.0,2.0,,94,79,876,11.08860759493671,10.0,10.0,51.0,32.0,58.0,25.0
50,2010,3-Arlington,Male,African American,Six to Twelve Years Old,24.0,45.0,6.0,16.0,17.0,11.0,,1.0,66,75,2348,31.30666666666667,14.0,14.0,59.0,33.0,67.0,25.0
51,2010,3-Arlington,Male,Anglo,Birth to Five Years Old,19.0,80.0,28.0,2.0,5.0,5.0,,,91,64,598,9.34375,10.0,10.0,84.0,48.0,87.0,45.0
52,2010,3-Arlington,Male,Anglo,Six to Twelve Years Old,9.0,53.0,2.0,19.0,17.0,6.0,,1.0,52,80,2057,25.7125,14.0,14.0,98.0,63.0,116.0,45.0
53,2010,3-Arlington,Male,Hispanic,Birth to Five Years Old,40.0,14.0,17.0,,4.0,8.0,,4.0,57,48,430,8.958333333333334,10.0,10.0,47.0,41.0,58.0,30.0
54,2010,3-Arlington,Male,Hispanic,Six to Twelve Years Old,28.0,13.0,1.0,8.0,9.0,2.0,,,36,41,1039,25.341463414634145,14.0,14.0,46.0,37.0,54.0,29.0
55,2010,3-Arlington,Male,Other,Six to Twelve Years Old,4.0,,,,2.0,,,,3,2,48,24.0,6.0,14.0,7.0,3.0,9.0,1.0
56,2010,4-Tyler,Female,African American,Birth to Five Years Old,6.0,11.0,4.0,,,,,,20,16,170,10.625,10.0,10.0,39.0,27.0,40.0,26.0
57,2010,4-Tyler,Female,African American,Six to Twelve Years Old,,13.0,,1.0,4.0,,,,16,22,411,18.681818181818183,14.0,14.0,29.0,28.0,33.0,24.0
58,2010,4-Tyler,Female,Anglo,Birth to Five Years Old,4.0,36.0,12.0,,3.0,3.0,,,44,20,98,4.9,10.0,10.0,57.0,52.0,63.0,46.0
59,2010,4-Tyler,Female,Anglo,Six to Twelve Years Old,,16.0,,3.0,1.0,2.0,,,13,21,264,12.571428571428571,14.0,14.0,55.0,42.0,59.0,38.0
60,2010,4-Tyler,Female,Hispanic,Six to Twelve Years Old,3.0,1.0,,,1.0,1.0,,,6,9,224,24.88888888888889,14.0,14.0,16.0,16.0,18.0,14.0
61,2010,4-Tyler,Male,African American,Birth to Five Years Old,11.0,11.0,9.0,,4.0,1.0,,,26,14,116,8.285714285714286,10.0,10.0,30.0,42.0,35.0,37.0
62,2010,4-Tyler,Male,African American,Six to Twelve Years Old,,7.0,,,3.0,,,,8,20,451,22.55,12.0,14.0,37.0,15.0,37.0,15.0
63,2010,4-Tyler,Male,Anglo,Birth to Five Years Old,6.0,36.0,7.0,,2.0,3.0,,,43,18,92,5.111111111111111,10.0,10.0,67.0,57.0,72.0,52.0
64,2010,4-Tyler,Male,Anglo,Six to Twelve Years Old,5.0,24.0,,6.0,8.0,2.0,,,31,29,620,21.379310344827587,14.0,14.0,75.0,45.0,82.0,38.0
65,2010,4-Tyler,Male,Hispanic,Birth to Five Years Old,8.0,1.0,1.0,,,1.0,,,10,2,18,9.0,10.0,10.0,17.0,15.0,17.0,15.0
66,2010,5-Beaumont,Female,African American,Birth to Five Years Old,1.0,16.0,4.0,,,,,,12,20,208,10.4,10.0,10.0,30.0,13.0,29.0,14.0
67,2010,5-Beaumont,Female,African American,Six to Twelve Years Old,1.0,8.0,3.0,1.0,1.0,,,,5,13,197,15.153846153846153,14.0,14.0,28.0,7.0,26.0,9.0
68,2010,5-Beaumont,Female,Anglo,Birth to Five Years Old,3.0,7.0,3.0,,1.0,,,,11,22,156,7.090909090909091,10.0,10.0,50.0,21.0,47.0,24.0
69,2010,5-Beaumont,Male,African American,Birth to Five Years Old,2.0,14.0,3.0,,2.0,2.0,,,10,10,55,5.5,10.0,10.0,18.0,10.0,18.0,10.0
70,2010,5-Beaumont,Male,African American,Six to Twelve Years Old,,6.0,2.0,2.0,2.0,,,,5,13,327,25.153846153846153,14.0,14.0,25.0,8.0,26.0,7.0
71,2010,5-Beaumont,Male,Anglo,Birth to Five Years Old,3.0,19.0,6.0,,3.0,4.0,,1.0,15,12,75,6.25,10.0,10.0,35.0,17.0,31.0,21.0
72,2010,5-Beaumont,Male,Anglo,Six to Twelve Years Old,1.0,14.0,2.0,2.0,1.0,1.0,,,16,15,204,13.6,14.0,14.0,35.0,18.0,38.0,15.0
73,2010,5-Beaumont,Male,Hispanic,Six to Twelve Years Old,3.0,,,1.0,1.0,1.0,,,3,1,16,16.0,8.0,14.0,7.0,3.0,8.0,2.0
74,2010,6-Houston,Female,African American,Birth to Five Years Old,44.0,117.0,47.0,5.0,7.0,8.0,,1.0,171,199,2267,11.391959798994975,10.0,10.0,27.0,46.0,39.0,34.0
75,2010,6-Houston,Female,African American,Six to Twelve Years Old,15.0,60.0,4.0,7.0,3.0,2.0,,,66,171,3918,22.912280701754387,14.0,14.0,39.0,42.0,53.0,28.0
76,2010,6-Houston,Female,Anglo,Birth to Five Years Old,6.0,64.0,20.0,,,2.0,,,78,71,581,8.183098591549296,10.0,10.0,37.0,52.0,54.0,35.0
77,2010,6-Houston,Female,Anglo,Six to Twelve Years Old,4.0,49.0,1.0,4.0,1.0,1.0,,,57,56,993,17.732142857142858,14.0,14.0,55.0,50.0,67.0,38.0
78,2010,6-Houston,Female,Hispanic,Birth to Five Years Old,39.0,38.0,22.0,3.0,4.0,6.0,1.0,1.0,88,76,744,9.789473684210526,10.0,10.0,27.0,31.0,38.0,20.0
79,2010,6-Houston,Female,Hispanic,Six to Twelve Years Old,29.0,22.0,2.0,7.0,7.0,2.0,,,48,53,1154,21.77358490566038,14.0,14.0,42.0,35.0,56.0,21.0
80,2010,6-Houston,Female,Other,Birth to Five Years Old,9.0,,2.0,,,,,,6,2,5,2.5,10.0,10.0,8.0,10.0,9.0,9.0
81,2010,6-Houston,Male,African American,Birth to Five Years Old,43.0,101.0,46.0,2.0,8.0,12.0,,1.0,158,236,2722,11.533898305084746,10.0,10.0,39.0,43.0,50.0,32.0
82,2010,6-Houston,Male,African American,Six to Twelve Years Old,10.0,69.0,4.0,19.0,17.0,2.0,,,78,211,5197,24.630331753554504,14.0,14.0,50.0,39.0,67.0,22.0
83,2010,6-Houston,Male,Anglo,Birth to Five Years Old,11.0,68.0,18.0,1.0,2.0,3.0,,,69,79,566,7.1645569620253164,10.0,10.0,47.0,39.0,55.0,31.0
84,2010,6-Houston,Male,Anglo,Six to Twelve Years Old,8.0,36.0,1.0,5.0,5.0,,,,45,70,1428,20.4,14.0,14.0,64.0,47.0,74.0,37.0
85,2010,6-Houston,Male,Hispanic,Birth to Five Years Old,36.0,38.0,21.0,1.0,5.0,2.0,1.0,1.0,83,88,1020,11.590909090909092,10.0,10.0,33.0,32.0,46.0,19.0
86,2010,6-Houston,Male,Hispanic,Six to Twelve Years Old,15.0,18.0,,6.0,6.0,2.0,,,35,79,1922,24.329113924050635,14.0,14.0,45.0,42.0,60.0,27.0
87,2010,7-Austin,Female,African American,Birth to Five Years Old,17.0,33.0,15.0,1.0,1.0,1.0,,1.0,50,35,247,7.057142857142857,10.0,10.0,37.0,29.0,42.0,24.0
88,2010,7-Austin,Female,African American,Six to Twelve Years Old,9.0,23.0,,8.0,7.0,4.0,,1.0,37,43,828,19.25581395348837,14.0,14.0,55.0,44.0,60.0,39.0
89,2010,7-Austin,Female,Anglo,Birth to Five Years Old,9.0,50.0,10.0,2.0,3.0,2.0,1.0,,58,33,157,4.757575757575758,10.0,10.0,64.0,47.0,65.0,46.0
90,2010,7-Austin,Female,Anglo,Six to Twelve Years Old,7.0,28.0,2.0,5.0,4.0,,,,33,30,454,15.133333333333333,14.0,14.0,43.0,52.0,49.0,46.0
