,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions,Fiscal Year_2010,Fiscal Year_2011,Fiscal Year_2012,Fiscal Year_2013,Fiscal Year_2014,Fiscal Year_2015,Fiscal Year_2016,Fiscal Year_2017,Fiscal Year_2018,Fiscal Year_2019,Region_1-Lubbock,Region_10-El Paso,Region_11-Edinburg,Region_2-Abilene,Region_3-Arlington,Region_4-Tyler,Region_5-Beaumont,Region_6-Houston,Region_7-Austin,Region_8-San Antonio,Region_9-Midland,Race/Ethnicity_African American,Race/Ethnicity_Anglo,Race/Ethnicity_Asian,Race/Ethnicity_Hispanic,Race/Ethnicity_Other,Age Group_Birth to Five Years Old,Age Group_Six to Twelve Years Old,Age Group_Thirteen to Seventeen Years Old,Gender_Female,Gender_Male
27,4.0,13.0,0.0,6.0,2.0,0.0,0.0,0.0,14,18,407,22.61111111111111,14.0,14.0,11.0,11.0,15.0,7.0,17.0,22.0,43.58974358974359,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
28,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3,19,1153,60.68421052631579,8.0,10.0,18.0,4.0,20.0,2.0,0.0,22.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
29,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,11,5.5,6.0,10.0,4.0,4.0,5.0,3.0,3.0,8.0,27.27272727272727,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
30,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4,9,42,4.666666666666667,10.0,10.0,17.0,4.0,17.0,4.0,3.0,21.0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
31,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4,1,10,10.0,12.0,14.0,12.0,7.0,13.0,6.0,0.0,19.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
32,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6,281,46.83333333333334,10.0,10.0,9.0,3.0,10.0,2.0,0.0,12.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
33,20.0,29.0,11.0,1.0,1.0,1.0,0.0,0.0,47,40,380,9.5,10.0,10.0,87.0,47.0,91.0,43.0,49.0,134.0,26.775956284153008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
34,12.0,16.0,1.0,3.0,6.0,1.0,0.0,1.0,29,48,1023,21.3125,14.0,14.0,88.0,51.0,96.0,43.0,28.0,139.0,16.766467065868262,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
35,8.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,12,32,1219,38.09375,10.0,10.0,76.0,32.0,91.0,17.0,11.0,108.0,9.243697478991598,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6,178,29.66666666666667,0.0,14.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
37,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4,4,22,5.5,10.0,10.0,20.0,10.0,21.0,9.0,0.0,30.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
38,3.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,6,9,155,17.22222222222222,10.0,14.0,18.0,6.0,21.0,3.0,4.0,24.0,14.285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
39,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3,12,303,25.25,10.0,10.0,23.0,4.0,25.0,2.0,0.0,27.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
40,10.0,30.0,12.0,0.0,3.0,4.0,0.0,0.0,40,39,265,6.794871794871796,10.0,10.0,76.0,51.0,80.0,47.0,40.0,127.0,23.952095808383234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
41,10.0,17.0,2.0,6.0,11.0,3.0,0.0,2.0,36,65,1810,27.84615384615385,14.0,14.0,86.0,56.0,99.0,43.0,27.0,142.0,15.976331360946746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
42,6.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,8,48,1930,40.208333333333336,10.0,10.0,76.0,32.0,91.0,17.0,9.0,108.0,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
43,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6,5,23,4.6,10.0,10.0,14.0,10.0,14.0,10.0,7.0,24.0,22.58064516129032,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
