,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
248,2011,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,6,8,270,33.75,10.0,10.0,52.0,17.0,53.0,16.0,0.0,69.0,0.0
249,2011,4-Tyler,Female,Hispanic,Birth to Five Years Old,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,15,6,29,4.833333333333333,10.0,10.0,8.0,18.0,8.0,18.0,15.0,26.0,36.58536585365854
250,2011,4-Tyler,Female,Hispanic,Thirteen to Seventeen Years Old,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4,144,36.0,6.0,10.0,18.0,5.0,19.0,4.0,0.0,23.0,0.0
251,2011,4-Tyler,Female,Other,Birth to Five Years Old,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,15,15.0,4.0,10.0,5.0,4.0,4.0,5.0,0.0,9.0,0.0
252,2011,4-Tyler,Male,African American,Birth to Five Years Old,10.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,20,21,193,9.19047619047619,10.0,10.0,29.0,40.0,33.0,36.0,19.0,69.0,21.59090909090909
253,2011,4-Tyler,Male,African American,Six to Twelve Years Old,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,8,16,343,21.4375,14.0,14.0,35.0,22.0,38.0,19.0,7.0,57.0,10.9375
254,2011,4-Tyler,Male,African American,Thirteen to Seventeen Years Old,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5,9,572,63.555555555555564,10.0,10.0,45.0,5.0,48.0,2.0,5.0,50.0,9.090909090909092
255,2011,4-Tyler,Male,Anglo,Birth to Five Years Old,4.0,38.0,7.0,1.0,6.0,6.0,0.0,4.0,44,28,127,4.535714285714286,10.0,10.0,59.0,59.0,69.0,49.0,42.0,118.0,26.25
256,2011,4-Tyler,Male,Anglo,Six to Twelve Years Old,0.0,26.0,2.0,5.0,7.0,3.0,0.0,0.0,28,25,478,19.12,14.0,14.0,63.0,35.0,70.0,28.0,0.0,98.0,0.0
257,2011,4-Tyler,Male,Anglo,Thirteen to Seventeen Years Old,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,5,13,341,26.23076923076923,10.0,10.0,77.0,18.0,78.0,17.0,0.0,95.0,0.0
258,2011,4-Tyler,Male,Hispanic,Birth to Five Years Old,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,8,7,46,6.571428571428571,10.0,10.0,15.0,19.0,16.0,18.0,7.0,34.0,17.073170731707318
259,2011,4-Tyler,Male,Hispanic,Six to Twelve Years Old,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,4,38,9.5,14.0,14.0,16.0,13.0,18.0,11.0,4.0,29.0,12.121212121212121
260,2011,4-Tyler,Male,Other,Birth to Five Years Old,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,5,5.0,6.0,10.0,3.0,3.0,3.0,3.0,0.0,6.0,0.0
261,2011,5-Beaumont,Female,African American,Birth to Five Years Old,4.0,14.0,7.0,0.0,1.0,3.0,0.0,1.0,21,16,125,7.8125,10.0,10.0,23.0,19.0,26.0,16.0,18.0,42.0,30.0
